UserID,OrderDate_GMT,OrderValue
1303089,2012-08-29,302.273
1303089,2012-07-04,144.913
477723,2012-06-18,227.23
1303089,2012-08-29,302.273
4028574,2012-11-16,229.054
430757,2012-07-25,90.42
1571719,2012-03-18,81.526
1097085,2012-02-07,182.512
1200693,2012-01-31,16.728
1200693,2012-01-31,22.583
1905159,2012-06-18,199.17
1576174,2012-03-23,309.0
51389,2012-10-29,107.911
1303089,2012-08-29,302.273
2861019,2012-10-15,233.74
3644914,2012-10-21,722.435
1194860,2012-10-27,346.38
3251563,2012-10-03,52.463
2260642,2012-10-17,36.636
2585288,2012-07-20,44.312
1631499,2012-11-30,478.202
3049860,2012-09-04,85.077
1480703,2012-12-28,166.667
4269599,2012-11-28,680.0
1576845,2012-12-27,61.883
4579256,2012-12-26,213.649
3184394,2012-11-20,197.604
2166462,2012-11-25,792.408
2923038,2012-08-23,141.462
3488345,2012-10-10,31.82
2400681,2012-07-02,233.068
4472949,2012-12-13,356.664
3251563,2012-10-03,226.161
2388423,2012-07-02,136.869
544623,2012-11-03,195.846
2655429,2012-07-26,175.0
2534676,2012-07-15,136.497
1498620,2012-03-07,235.0
2664347,2012-07-27,634.721
3176125,2012-09-16,157.252
1100645,2012-10-22,519.57
1768241,2012-09-12,245.778
4101185,2012-11-19,148.332
1267504,2012-02-03,70.0
1303089,2012-08-09,156.92
2220315,2012-06-14,65.497
4030958,2012-11-23,288.528
2166462,2012-11-25,792.408
2846730,2012-08-15,227.911
1160782,2012-10-05,498.85
3918212,2012-12-30,465.367
1831869,2012-05-08,67.729
3565777,2012-12-28,343.049
3432545,2012-10-06,237.855
2777660,2012-09-18,100.379
3112697,2012-09-10,155.389
4138647,2012-11-21,160.74
4138647,2012-11-21,321.48
2861019,2012-10-15,261.95
3644495,2012-10-21,166.667
1252716,2012-02-01,124.0
2346727,2012-07-19,534.0
1839487,2012-04-25,300.614
2206972,2012-06-12,94.991
3251563,2012-10-03,33.133
1932309,2012-05-08,67.494
2109108,2012-06-01,119.558
3251563,2012-10-03,106.406
1207023,2012-02-19,267.421
615251,2012-10-04,719.928
1885716,2012-05-02,132.208
1498620,2012-03-07,304.556
142982,2012-07-30,113.751
2710562,2012-12-19,53.056
45810,2012-11-19,159.454
1775132,2012-04-16,226.792
1303089,2012-08-29,302.273
2788710,2012-08-08,191.285
2896493,2012-09-23,118.475
1303089,2012-09-23,207.445
1208237,2012-02-19,249.15
1474405,2012-03-04,495.933
4796460,2012-12-28,199.2
1790784,2012-04-19,39.312
2063519,2012-07-04,91.936
2022823,2012-05-21,66.012
1303089,2012-08-17,63.328
1992893,2012-07-27,90.746
2534820,2012-07-15,93.601
4333452,2012-12-06,522.837
1741843,2012-04-12,245.88
178062,2012-02-19,160.286
1852966,2012-10-31,266.196
183814,2012-05-25,236.55
178062,2012-02-19,191.846
2452250,2012-07-11,34.977
3184394,2012-11-20,444.481
4388954,2012-12-05,281.365
3154469,2012-09-28,649.096
2667692,2012-07-27,57.0
1088948,2012-10-21,265.522
2902526,2012-08-21,375.0
2667692,2012-07-27,139.21
2585288,2012-07-20,153.368
3057219,2012-10-13,550.0
3189097,2012-09-17,667.193
2585288,2012-07-20,149.435
2585288,2012-07-20,44.954
1908620,2012-08-04,108.0
2747303,2012-12-27,528.872
1173966,2012-03-29,119.834
2452250,2012-07-11,32.18
1538946,2012-03-13,117.768
1071014,2012-01-11,787.97
2452250,2012-07-11,78.345
1299296,2012-02-07,66.368
2113271,2012-06-14,16.202
4689271,2012-12-22,162.78
444682,2012-11-25,99.632
1938983,2012-07-13,188.716
1084625,2012-01-09,225.198
1329044,2012-10-29,552.21
1084625,2012-01-09,184.778
1971260,2012-05-14,281.435
1771185,2012-06-18,159.553
2802295,2012-08-10,49.124
4042945,2012-11-17,249.081
377572,2012-12-04,381.015
2667746,2012-07-27,196.625
3432460,2012-12-10,547.155
2663811,2012-07-27,103.999
2750217,2012-08-29,110.0
2534676,2012-07-15,148.2
3350472,2012-09-30,467.135
1303089,2012-10-01,445.639
3803717,2012-11-01,48.841
3406133,2012-11-08,116.844
3184394,2012-11-20,116.902
1173966,2012-03-27,307.832
3367366,2012-10-10,180.793
1857578,2012-08-08,79.111
1316993,2012-02-10,316.68
1632903,2012-03-27,425.0
1316993,2012-02-10,250.32
2822287,2012-10-21,57.952
2896727,2012-08-20,97.428
2717167,2012-08-01,127.741
1101184,2012-01-20,255.0
2822287,2012-10-21,171.174
1208237,2012-02-19,786.484
159914,2012-01-30,56.0
2766391,2012-08-07,170.541
2366659,2012-08-07,143.276
1100645,2012-10-22,379.686
1946307,2012-05-10,120.27
1194860,2012-03-22,110.749
3003637,2012-12-30,292.623
4408150,2012-12-06,195.601
3401486,2012-10-04,51.548
3394003,2012-11-04,290.833
4269599,2012-11-28,355.0
4754765,2012-12-26,857.453
4347309,2012-12-02,482.307
1837438,2012-04-25,196.176
2089130,2012-10-10,153.754
684334,2012-05-02,877.308
2750217,2012-08-29,80.217
2861019,2012-10-15,394.94
170483,2012-09-06,95.005
1075000,2012-01-08,94.0
2398941,2012-07-02,90.993
1303089,2012-08-17,437.5
3220965,2012-09-28,49.424
3462013,2012-11-12,22.036
1563695,2012-03-17,32.0
2270057,2012-06-20,401.375
2632531,2012-08-14,74.424
2861019,2012-10-15,282.1
2960819,2012-08-27,82.52
3462013,2012-11-12,69.708
1197090,2012-02-23,194.465
1303089,2012-08-17,125.029
4830658,2012-12-29,152.0
1303089,2012-08-29,390.977
4523668,2012-12-12,96.3
3488345,2012-10-10,35.797
3836476,2012-11-04,325.395
3836476,2012-11-04,262.795
3540627,2012-10-14,230.103
3836170,2012-11-04,229.167
3835966,2012-11-04,120.898
4638317,2012-12-19,215.246
1476788,2012-03-04,97.898
4581153,2012-12-25,162.78
1570914,2012-03-18,209.639
4547030,2012-12-13,1810.07
4490406,2012-12-10,39.719
2542116,2012-08-01,83.968
1303089,2012-08-29,302.273
1831869,2012-05-08,96.756
1886155,2012-05-02,142.001
4030958,2012-11-23,762.711
3488345,2012-10-10,31.82
2451618,2012-07-07,96.595
2452250,2012-07-11,32.647
2452250,2012-07-11,60.627
2452250,2012-07-11,24.32
4644048,2012-12-19,215.683
1042302,2012-07-20,121.121
1208237,2012-03-24,592.866
1208075,2012-07-27,167.556
1571719,2012-03-18,143.919
1932309,2012-05-08,64.28
3527541,2012-10-13,58.512
1200693,2012-01-31,15.892
1200693,2012-01-31,16.728
2063519,2012-07-04,95.136
3887070,2012-11-19,33.98
4514669,2012-12-19,150.0
3184394,2012-11-20,396.667
3430044,2012-10-06,89.796
4200469,2012-11-24,74.392
1961340,2012-06-07,295.942
1116568,2012-01-13,129.5
2667692,2012-07-27,72.0
3406133,2012-11-08,116.844
622084,2012-12-21,126.968
1066420,2012-10-24,464.949
3790382,2012-10-31,197.47
1316993,2012-02-10,197.4
1406665,2012-12-19,507.874
3016332,2012-09-01,209.664
4491026,2012-12-10,117.235
2941558,2012-08-25,54.227
4358971,2012-12-05,121.657
2452250,2012-07-11,10.0
1544439,2012-07-25,118.368
1723932,2012-07-11,184.202
1615949,2012-03-25,131.283
1303089,2012-12-13,423.6
1989131,2012-12-04,150.731
1723932,2012-07-11,209.852
3836399,2012-11-04,278.831
2722478,2012-08-02,221.736
4819508,2012-12-29,164.5
2047915,2012-05-24,250.607
2867644,2012-08-18,77.018
1372833,2012-10-17,258.333
4788994,2012-12-27,407.764
1647850,2012-03-29,196.0
4687678,2012-12-22,336.857
1303089,2012-12-10,401.95
1243594,2012-06-18,82.5
1615949,2012-03-25,131.283
2903037,2012-08-24,97.0
1723932,2012-11-12,248.957
3119900,2012-09-11,26.313
2632531,2012-08-14,50.004
2941558,2012-08-25,250.702
3929589,2012-11-10,297.221
2742026,2012-08-04,360.853
4514669,2012-12-19,343.049
2744059,2012-08-04,130.722
3914273,2012-11-09,172.61
2012929,2012-06-03,20.068
1014304,2012-01-17,376.058
622084,2012-11-19,196.505
1571719,2012-04-13,73.541
3555306,2012-10-17,133.223
1628609,2012-03-27,86.996
2722228,2012-08-02,97.267
3007531,2012-12-10,448.845
1723932,2012-11-12,192.093
3005733,2012-08-31,90.379
3960949,2012-11-12,159.857
2034564,2012-05-31,239.73
1831869,2012-08-26,88.657
1271747,2012-02-04,382.662
1951755,2012-05-10,534.801
100123,2012-10-11,38.33
3902167,2012-11-08,111.659
4408150,2012-12-06,145.372
1112114,2012-01-12,182.839
2822287,2012-10-21,111.196
1723932,2012-11-12,63.069
2676057,2012-07-28,28.629
2919833,2012-08-23,98.568
2452250,2012-07-11,41.039
3960221,2012-11-12,334.574
2151425,2012-06-06,48.582
1831869,2012-08-26,56.828
3406133,2012-11-08,112.196
2757387,2012-08-05,41.47
1831869,2012-08-26,153.541
2639224,2012-07-27,64.22
4234589,2012-11-26,313.443
1771185,2012-06-11,167.147
